url,year_of_pass,Label,Up,Down
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1475_001603&category=dirSer,1475,이세우(李世佑),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1492_001906&category=dirSer,1492,김성동(金誠童),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1494_001966&category=dirSer,1494,이자(李滋),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1498_002063&category=dirSer,1498,성몽정(成夢井),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1546_003193&category=dirSer,1546,윤홍중(尹弘中),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1561_003537&category=dirSer,1561,이산해(李山海),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1560_003522&category=dirSer,1560,이성헌(李成憲),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1576_003939&category=dirSer,1576,김첨(金瞻),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1580_004025&category=dirSer,1580,윤담무(尹覃茂),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1586_004208&category=dirSer,1586,서성(徐渻),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1588_004272&category=dirSer,1588,박정현(朴鼎賢),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1619_005222&category=dirSer,1619,홍명구(洪命耉),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1621_005248&category=dirSer,1621,박황(朴潢),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1662_006431&category=dirSer,1662,정도겸(丁道謙),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1628_005537&category=dirSer,1628,이일상(李一相),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1633_005672&category=dirSer,1633,윤선도(尹善道),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1646_006020&category=dirSer,1646,심유행(沈儒行),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1727_008543&category=dirSer,1727,엄경하(嚴慶遐),2,4
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1735_008787&category=dirSer,1735,김시찬(金時粲),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1686_007160&category=dirSer,1686,조태채(趙泰采),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOb_1700_007635&category=dirSer,1700,김시환(金始煥),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1733_008690&category=dirSer,1733,한익모(韓翼謩),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1736_008862&category=dirSer,1736,이제원(李濟遠),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1743_009085&category=dirSer,1743,채제공(蔡濟恭),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1784_010837&category=dirSer,1784,홍의호(洪義浩),4,2
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOc_1751_009343&category=dirSer,1751,조영순(趙榮順),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1513_002422&category=dirSer,1513,홍계정(洪係貞),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1513_002425&category=dirSer,1513,정옥형(丁玉亨),3,3
http://people.aks.ac.kr/front/dirSer/exm/exmView.aks?exmId=EXM_MN_6JOa_1528_002783&category=dirSer,1528,홍춘경(洪春卿),3,3
